approach_name,accuracy,f1,best_param
limpeza_simples__Bayes__TFIDF,0.6726666666666666,0.8028904054596547,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_lem__Bayes__TFIDF,0.674,0.8035355564483727,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stem__Bayes__TFIDF,0.674,0.8035355564483727,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_lem_stem__Bayes__TFIDF,0.6746666666666666,0.8038585209003216,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords__Bayes__TFIDF,0.6746666666666666,0.8038585209003216,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__Bayes__TFIDF,0.6766666666666666,0.8048289738430584,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__Bayes__TFIDF,0.6786666666666666,0.8058017727639001,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Bayes__TFIDF,0.6793333333333333,0.8061265618702136,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__KNN__TFIDF,0.7526666666666667,0.8396022481625595,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_lem__KNN__TFIDF,0.7346666666666667,0.8309260832625319,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stem__KNN__TFIDF,0.7673333333333333,0.8449577965348735,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__KNN__TFIDF,0.7666666666666667,0.8463564530289728,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__KNN__TFIDF,0.7353333333333333,0.8312792180195494,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__KNN__TFIDF,0.7393333333333333,0.8331199317114809,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__KNN__TFIDF,0.7493333333333333,0.8386266094420601,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__KNN__TFIDF,0.7466666666666667,0.8369098712446352,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples__SVM_Linear__TFIDF,0.822,0.8773541570969224,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__SVM_Linear__TFIDF,0.824,0.879231473010064,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__SVM_Linear__TFIDF,0.8266666666666667,0.8802946593001842,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__SVM_Linear__TFIDF,0.824,0.8787878787878787,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__SVM_Linear__TFIDF,0.7886666666666666,0.8586714222024074,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__SVM_Linear__TFIDF,0.8006666666666666,0.865979381443299,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__SVM_Linear__TFIDF,0.8,0.8653500897666069,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__SVM_Linear__TFIDF,0.8033333333333333,0.8677722994173016,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__SVM_RBF__TFIDF,0.786,0.8590250329380765,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__SVM_RBF__TFIDF,0.786,0.8585279858968708,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__SVM_RBF__TFIDF,0.7926666666666666,0.8623284639220894,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__SVM_RBF__TFIDF,0.7866666666666666,0.8586572438162543,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__SVM_RBF__TFIDF,0.732,0.8315171835708299,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__SVM_RBF__TFIDF,0.746,0.8384908859686308,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__SVM_RBF__TFIDF,0.748,0.8395585738539898,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__SVM_RBF__TFIDF,0.7533333333333333,0.8425531914893618,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__MLP_2Layers__TFIDF,0.8113333333333334,0.8702430077945895,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__MLP_2Layers__TFIDF,0.8033333333333333,0.865725989986345,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__MLP_2Layers__TFIDF,0.8013333333333333,0.8649138712601993,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_lem_stem__MLP_2Layers__TFIDF,0.8106666666666666,0.8698441796516956,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__MLP_2Layers__TFIDF,0.8033333333333333,0.8672964462438146,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__MLP_2Layers__TFIDF,0.79,0.8600621945801866,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_stem__MLP_2Layers__TFIDF,0.784,0.8575197889182058,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem_stem__MLP_2Layers__TFIDF,0.774,0.8525445846020009,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples__Random_Forest__TFIDF,0.7186666666666667,0.8241666666666667,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__Random_Forest__TFIDF,0.7286666666666667,0.8299206017551192,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__Random_Forest__TFIDF,0.736,0.8337531486146096,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__Random_Forest__TFIDF,0.7366666666666667,0.8342425514057911,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__Random_Forest__TFIDF,0.7346666666666667,0.8312128922815945,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__Random_Forest__TFIDF,0.7426666666666667,0.8353242320819112,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_stem__Random_Forest__TFIDF,0.7433333333333333,0.835820895522388,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Random_Forest__TFIDF,0.754,0.8419700214132763,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples__Logistic_Regression__TFIDF,0.7826666666666666,0.8575174825174826,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__Logistic_Regression__TFIDF,0.7793333333333333,0.8556476232010466,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__Logistic_Regression__TFIDF,0.7913333333333333,0.862538427755819,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
