approach_name,accuracy,f1
limpeza_simples__Bayes__TFIDF,0.6726666666666666,0.8028904054596547
limpeza_simples_lem__Bayes__TFIDF,0.674,0.8035355564483727
limpeza_simples_stem__Bayes__TFIDF,0.674,0.8035355564483727
limpeza_simples_lem_stem__Bayes__TFIDF,0.6746666666666666,0.8038585209003216
limpeza_simples_stopwords__Bayes__TFIDF,0.6746666666666666,0.8038585209003216
limpeza_simples_stopwords_lem__Bayes__TFIDF,0.6766666666666666,0.8048289738430584
limpeza_simples_stopwords_stem__Bayes__TFIDF,0.6786666666666666,0.8058017727639001
limpeza_simples_stopwords_lem_stem__Bayes__TFIDF,0.6793333333333333,0.8061265618702136
limpeza_simples__SVM_Linear__TFIDF,0.822,0.8773541570969224
limpeza_simples_lem__SVM_Linear__TFIDF,0.824,0.879231473010064
limpeza_simples_stem__SVM_Linear__TFIDF,0.8266666666666667,0.8802946593001842
limpeza_simples_lem_stem__SVM_Linear__TFIDF,0.824,0.8787878787878787
limpeza_simples_stopwords__SVM_Linear__TFIDF,0.7886666666666666,0.8586714222024074
limpeza_simples_stopwords_lem__SVM_Linear__TFIDF,0.8006666666666666,0.865979381443299
limpeza_simples_stopwords_stem__SVM_Linear__TFIDF,0.8,0.8653500897666069
limpeza_simples_stopwords_lem_stem__SVM_Linear__TFIDF,0.8033333333333333,0.8677722994173016
limpeza_simples__MLP_1Layer__TFIDF,0.8086666666666666,0.8697231048570131
limpeza_simples_lem__MLP_1Layer__TFIDF,0.8093333333333333,0.87
limpeza_simples_stem__MLP_1Layer__TFIDF,0.804,0.8647654093836247
limpeza_simples_lem_stem__MLP_1Layer__TFIDF,0.8133333333333334,0.8730734360834088
limpeza_simples_stopwords__MLP_1Layer__TFIDF,0.788,0.8575268817204301
limpeza_simples_stopwords_lem__MLP_1Layer__TFIDF,0.8,0.864986498649865
limpeza_simples_stopwords_stem__MLP_1Layer__TFIDF,0.792,0.862190812720848
limpeza_simples_stopwords_lem_stem__MLP_1Layer__TFIDF,0.7946666666666666,0.8602540834845736
limpeza_simples__Bayes__BOW,0.8426666666666667,0.8844270323212537
limpeza_simples_lem__Bayes__BOW,0.8446666666666667,0.8859520313264807
limpeza_simples_stem__Bayes__BOW,0.8513333333333334,0.8899851998026641
limpeza_simples_lem_stem__Bayes__BOW,0.846,0.8867091711623345
limpeza_simples_stopwords__Bayes__BOW,0.8466666666666667,0.8896353166986565
limpeza_simples_stopwords_lem__Bayes__BOW,0.85,0.8913568324480927
limpeza_simples_stopwords_stem__Bayes__BOW,0.8506666666666667,0.8912621359223302
limpeza_simples_stopwords_lem_stem__Bayes__BOW,0.8486666666666667,0.8900726392251816
limpeza_simples__SVM_Linear__BOW,0.81,0.8665105386416861
limpeza_simples_lem__SVM_Linear__BOW,0.7993333333333333,0.8586190699859088
limpeza_simples_stem__SVM_Linear__BOW,0.8066666666666666,0.8633364750235628
limpeza_simples_lem_stem__SVM_Linear__BOW,0.8026666666666666,0.8602455146364495
limpeza_simples_stopwords__SVM_Linear__BOW,0.7946666666666666,0.8594890510948906
limpeza_simples_stopwords_lem__SVM_Linear__BOW,0.7986666666666666,0.8610855565777369
limpeza_simples_stopwords_stem__SVM_Linear__BOW,0.802,0.8626907073509016
limpeza_simples_stopwords_lem_stem__SVM_Linear__BOW,0.7966666666666666,0.8589921405455386
limpeza_simples__MLP_1Layer__BOW,0.808,0.8703870387038704
limpeza_simples_lem__MLP_1Layer__BOW,0.8166666666666667,0.8743718592964824
limpeza_simples_stem__MLP_1Layer__BOW,0.8253333333333334,0.8782527881040892
limpeza_simples_lem_stem__MLP_1Layer__BOW,0.8153333333333334,0.8740336516598453
limpeza_simples_stopwords__MLP_1Layer__BOW,0.7926666666666666,0.8622064687638458
limpeza_simples_stopwords_lem__MLP_1Layer__BOW,0.802,0.8677060133630288
limpeza_simples_stopwords_stem__MLP_1Layer__BOW,0.7786666666666666,0.8559027777777777
limpeza_simples_stopwords_lem_stem__MLP_1Layer__BOW,0.8006666666666666,0.8660994178235558
